data_noise,forest_name,forest_seed,scores,shuffle,mean,std
0.4,forest_hyperparams_1,True,[0.4746 0.5456 0.5788 0.4368 0.5052],True,0.5082,0.050237515862152256
0.4,forest_hyperparams_1,True,[0.5572 0.459  0.5128 0.5734 0.467 ],True,0.51388,0.04610849813212313
0.4,forest_hyperparams_1,True,[0.5884 0.4384 0.4982 0.4904 0.4102],True,0.48512,0.06109253309529735
0.4,forest_hyperparams_1,True,[0.5918 0.4132 0.5046 0.6026 0.5328],True,0.529,0.06838163496144269
0.4,forest_hyperparams_1,True,[0.5258 0.5248 0.5982 0.5164 0.5612],True,0.54528,0.03061675358361827
0.4,forest_hyperparams_1,True,[0.4868 0.4834 0.4894 0.4568 0.5318],True,0.48964,0.024095609558589696
0.4,forest_hyperparams_1,True,[0.5818 0.5736 0.459  0.5236 0.5328],True,0.5341600000000001,0.04378920414896803
0.4,forest_hyperparams_1,True,[0.5384 0.5038 0.4978 0.5034 0.4834],True,0.50536,0.018095922192582485
0.4,forest_hyperparams_1,True,[0.543  0.5314 0.5598 0.5702 0.4896],True,0.5388,0.028000000000000004
0.4,forest_hyperparams_1,True,[0.5796 0.4942 0.4466 0.556  0.48  ],True,0.5112800000000001,0.049236506781046095
0.4,forest_hyperparams_1,True,[0.5394 0.5332 0.5266 0.4608 0.5574],True,0.5234800000000001,0.03297577292498235
0.4,forest_hyperparams_1,True,[0.4356 0.711  0.4612 0.5614 0.5018],True,0.5342,0.09808037520319753
0.4,forest_hyperparams_1,True,[0.5192 0.5176 0.4742 0.5008 0.6022],True,0.5227999999999999,0.0428726486235689
0.4,forest_hyperparams_1,True,[0.5288 0.4128 0.5122 0.462  0.4434],True,0.4718399999999999,0.043045910374854425
0.4,forest_hyperparams_1,True,[0.5142 0.4748 0.5362 0.4904 0.5352],True,0.5101600000000001,0.024340057518420128
0.4,forest_hyperparams_1,True,[0.532  0.471  0.433  0.5616 0.544 ],True,0.50832,0.0484529627577097
0.4,forest_hyperparams_1,True,[0.4366 0.5836 0.4574 0.5296 0.5124],True,0.50392,0.052490700128689435
0.4,forest_hyperparams_1,True,[0.538  0.5278 0.4864 0.5334 0.4726],True,0.51164,0.026798029778325128
0.4,forest_hyperparams_1,True,[0.5592 0.4838 0.5492 0.5702 0.4814],True,0.5287599999999999,0.038278014577561324
0.4,forest_hyperparams_1,True,[0.4876 0.5132 0.5558 0.522  0.5596],True,0.52764,0.02704792783190611
0.4,forest_hyperparams_1,True,[0.4906 0.5168 0.5176 0.5454 0.5196],True,0.518,0.017353270585108774
0.4,forest_hyperparams_1,True,[0.5558 0.4492 0.5332 0.5    0.5342],True,0.51448,0.03719625787629716
0.4,forest_hyperparams_1,True,[0.5318 0.5296 0.528  0.4562 0.442 ],True,0.49751999999999996,0.03980725562004999
0.4,forest_hyperparams_1,True,[0.5284 0.5406 0.4802 0.4492 0.5096],True,0.5016,0.03318722645838303
0.4,forest_hyperparams_1,True,[0.5626 0.447  0.5098 0.4836 0.4426],True,0.4891200000000001,0.044262055984782264
0.4,forest_hyperparams_1,True,[0.5592 0.4882 0.5368 0.5436 0.4708],True,0.51972,0.034080281688976664
0.4,forest_hyperparams_1,True,[0.4464 0.4926 0.5034 0.4802 0.4668],True,0.47788,0.019935335462439537
0.4,forest_hyperparams_1,True,[0.5292 0.5314 0.5182 0.5604 0.5756],True,0.54296,0.02147348131999095
0.4,forest_hyperparams_1,True,[0.5972 0.5838 0.509  0.4794 0.4758],True,0.52904,0.05166173051689231
0.4,forest_hyperparams_1,True,[0.5552 0.5026 0.541  0.5222 0.5572],True,0.5356399999999999,0.02072887840670597
0.4,forest_hyperparams_1,True,[0.434  0.551  0.468  0.4352 0.4992],True,0.47748,0.0439202185786911
0.4,forest_hyperparams_1,True,[0.4766 0.445  0.569  0.564  0.5828],True,0.5274800000000001,0.05569496925216854
0.4,forest_hyperparams_1,True,[0.5642 0.5636 0.4012 0.3984 0.4558],True,0.47663999999999995,0.07412933562362475
0.4,forest_hyperparams_1,True,[0.527  0.5002 0.54   0.4724 0.4926],True,0.50644,0.024241254092971343
0.4,forest_hyperparams_1,True,[0.5714 0.434  0.5274 0.4036 0.5374],True,0.49476000000000003,0.0644346987266954
0.4,forest_hyperparams_1,True,[0.5296 0.4852 0.5564 0.4298 0.5398],True,0.5081600000000001,0.0457281357590707
0.4,forest_hyperparams_1,True,[0.5912 0.5538 0.491  0.5478 0.6042],True,0.5576000000000001,0.03961454278418471
0.4,forest_hyperparams_1,True,[0.4584 0.5804 0.5268 0.5704 0.5752],True,0.5422399999999999,0.046050129207202035
0.4,forest_hyperparams_1,True,[0.4932 0.414  0.566  0.558  0.5818],True,0.5226,0.062128383207677315
0.4,forest_hyperparams_1,True,[0.4984 0.391  0.4994 0.4992 0.4858],True,0.47476,0.04219220781139574
0.4,forest_hyperparams_1,True,[0.497  0.4976 0.51   0.6394 0.4412],True,0.5170399999999999,0.0656547820040551
0.4,forest_hyperparams_1,True,[0.3634 0.4678 0.3858 0.4334 0.629 ],True,0.45588,0.09389539711828264
0.4,forest_hyperparams_1,True,[0.5132 0.498  0.4548 0.4396 0.6056],True,0.5022399999999999,0.05830216462533785
